SequenceID,Header,Header latin,Group 
1,Human,Homo sapiens,1
2,Chimpanzee,Pan troglodytes,1
3,Bonobo,Pan paniscus,1
4,Western Gorilla,Gorilla gorilla gorilla,1
5,Sumatran Orangutan,Pongo abelii,1
6,White-cheeked Gibbon,Nomascus leucogenys,1
7,Rhesus Macaque,Macaca mulatta,1
8,Crab-eating Macaque,Macaca fascicularis,1
9,Green monkey,Chlorocebus sabaeus,1
10,Golden Snub-nosed Monkey,Rhinopithecus roxellana,1
11,Common Marmoset,Callithrix jacchus,1
12,Bolivian squirrel monkey,Saimiri boliviensis boliviensis,1
13,Mouse,Mus musculus,1
14,Norway Rat,Rattus norvegicus,1
15,Chinese Hamster / Stripped Dwarf Hamster,Cricetulus griseus,1
16,Upper Galilee Mountains Blind Mole Rat,Spalax galili,1
17,Naked Mole-rat,Heterocephalus glaber,1
18,Rabbit,Oryctolagus cuniculus,1
19,Dog,Canis lupus,1
20,Giant Panda,Ailuropoda melanoleuca,1
21,Polar Bear,Ursus maritimus,1
22,Cat,Felis catus,1
23,Cow / Cattle,Bos taurus,1
24,Yak,Bos grunniens,1
25,Chiru (Tibetan antelope),Pantholops hodgsonii,1
26,Goat,Capra hircus,1
27,Sheep,Ovis aries,1
28,Pig,Sus scrofa,1
29,Camel,Camelus bactrianus,1
30,Baiji (Yangtze River Dolphin),Lipotes vexillifer,1
31,Horse,Equus caballus,1
32,Brandts bat,Myotis brandtii,1
33,Bat,Myotis davidii,1
34,Black Flying Fox (Bat),Pteropus alecto,1
35,African Elephant,Loxodonta africana,1
36,Opossum,Monodelphis domestica,1
37,Tasmanian Devil,Sarcophilus harrisii,1
38,Platypus,Ornithorhynchus anatinus,1
39,Chicken,Gallus gallus,1
40,Turkey,Meleagris gallopavo,1
41,Japanese Quail,Coturnix japonica,1
42,Mallard,Anas platyrhynchos,1
43,Zebra Finch,Taeniopygia guttata,1
44,Collared Flycatcher,Ficedula albicollis,1
45,Tibetan Ground-jay,Pseudopodoces humilis,1
46,Hooded Crow,Corvus cornix,1
47,Peregrine Falcon,Falco peregrinus,1
48,Saker Falcon,Falco cherrug,1
49,Pigeon,Columba livia,1
50,Chinese Alligator,Alligator sinensis,1
51,Florida Alligator,Alligator mississippiensis,1
52,Chinese Softshell Turtle,Pelodiscus sinensis,1
53,Green Sea Turtle,Chelonia mydas,1
54,Lizzard,Anolis carolinensis,1
55,Burmese Python,Python bivittatus,1
56,Gecko,Gekko japonicus,1
57,African Clawed Frog,Xenopus laevis,1
58,Western Clawed Frog,Silurana tropicalis,1
59,Zebrafish,Danio rerio,1
60,Takifugu (Fugu fish),Takifugu rubripes,1
61,Spotted Green Pufferfish,Tetraodon nigroviridis,1
62,Zebra Mbuna,Maylandia zebra,1
63,Japanese Medaka (Ricefish),Oryzias latipes,1
64,Southern Platyfish,Xiphophorus maculatus,1
65,Atlantic Salmon,Salmo salar,1
66,Coelacanth,Latimeria chalumnae,1
67,Australian ghostshark,Callorhinchus milii,1
68,Florida Lancelet,Branchiostoma floridae,1
69,Yellow sea Squirt,Ciona intestinalis,1
70,Purple Sea Urchin,Strongylocentrotus purpuratus,1
71,Acorn worm,Saccoglossus kowalevskii,1
72,Fruit Fly,Drosophila melanogaster,1
73,Fruit Fly (sechellia),Drosophila sechellia,1
74,Fruit Fly (simulans),Drosophila simulans,1
75,Fruit Fly (yakuba),Drosophila yakuba,1
76,House fly,Musca domestica,1
77,African malaria Mosquito,Anopheles gambiae,1
78,Yellow fever Mosquito,Aedes aegypti,1
79,Southern House Mosquito,Culex quinquefasciatus,1
80,Ref Fire Ant,Solenopsis invicta,1
81,Ref Flour Beetle,Tribolium castaneum,1
82,Silkworm,Bombyx mori,1
83,Diamondback Moth,Plutella xylostella,1
84,Pea aphid,Acyrthosiphon pisum,1
85,Water Flea,Daphnia pulex,1
86,C. elegans,Caenorhabditis elegans,1
87,Nearly C. elegans,Caenorhabditis briggsae,1
88,Lymphatica Filaria,Brugia malayi,1
89,Eye Filaria,Loa loa,1
90,Trichinosis Parasite,Trichinella spiralis,1
91,Pacific Giant Oyster,Crassostrea gigas,1
92,Schistosomiasis,Schistosoma mansoni,1
93,Coral,Acropora digitifera,1
94,Fresh-water Polyp,Hydra vulgaris,1
95,Placozoans,Trichoplax adhaerens,1
96,Sponge,Amphimedon queenslandica,1
97,Yeast,Saccharomyces cerevisiae,2
98,Filamentous mold,Eremothecium gossypii,2
99,Mezcal Yeast,Kluyveromyces lactis,2
100,C. glabrata,Candida glabrata,2
101,Cheese Yeast,Debaryomyces hansenii,2
102,Y. Lipolytica,Yarrowia lipolytica,2
103,Niessl,Podospora anserina,2
104,Fusarium head blight,Fusarium graminearum,2
105,A. nidulans,Aspergillus nidulans,2
106,Black mould,Aspergillus niger,2
107,Corn smut,Ustilago maydis,2
108,Thale cress,Arabidopsis thaliana,3
109,Canola (rape),Brassica napus,3
110,Cotton,Gossypium raimondii,3
111,Soybean,Glycine max,3
112,Apple,Malus domestica,3
113,Cucumber,Cucumis sativus,3
114,Castor oil,Ricinus communis,3
115,Grape,Vitis vinifera,3
116,Beet,Beta vulgaris,3
117,Japanese rice,Oryza sativa japonica,3
118,Millet,Sorghum bicolor,3
119,Date palm,Phoenix dactylifera,3
120,Moss,Physcomitrella patens,3
121,Picoplankton (C. reinhardtii),Chlamydomonas reinhardtii,3
122,Picoplankton (O. tauri),Ostreococcus tauri,3
123,Picoplankton (B. prasinos),Bathycoccus prasinos,3
124,Picoplankton (M. commoda),Micromonas commoda,3
125,Picoplankton (C. subellipsoidea),Coccomyxa subellipsoidea,3
126,Picoplankton (food) (C. variabilis),Chlorella variabilis,3
127,Picoplankton (biofuel) (A. protothecoides),Auxenochlorella protothecoides,3
128,Cyanoalgae thermoacidophilic,Galdieria sulphuraria,4
129,Irish moss,Chondrus crispus,4
130,Malaria,Plasmodium falciparum 3D7,5
131,Soy parasitosis,Phytophthora sojae,6
