No.,Group,Accession,Name,Size
1,1,FM177121,A/chicken/Germany/R3234/2007(H5N1),1370
2,1,GU186511,A/turkey/VA/505477-18/2007(H5N1),1370
3,1,AF509102,A/Chicken/Hong Kong/822.1/01 (H5N1),1366
4,1,HQ185381,A/chicken/Eastern China/XH222/2008(H5N1),1350
5,1,HQ185383,A/duck/Eastern China/JS017/2009(H5N1),1350
6,1,AB684161,A/chicken/Miyazaki/10/2011(H5N1),1350
7,1,JF699677,A/mandarin duck/Korea/K10-483/2010(H5N1),1350
8,1,AM914017,A/domestic duck/Germany/R1772/2007(H5N1),1350
9,1,KF572435,A/wild bird/Hong Kong/07035-1/2011(H5N1),1350
10,1,EU635875,A/chicken/Yunnan/chuxiong01/2005(H5N1),1350
11,1,EF541464,A/chicken/Korea/es/2003(H5N1),1350
12,2,CY149630,A/thick-billed murre/Canada/1871/2011(H1N1),1433
13,2,CY140047,A/mallard/Minnesota/Sg-00620/2008(H1N1),1433
14,2,EU026046,A/mallard/Maryland/352/2002(H1N1),1433
15,2,FJ357114,A/mallard/Maryland/26/2003(H1N1),1433
16,2,CY138562,A/mallard/Nova Scotia/00088/2010(H1N1),1422
17,2,HM370969,A/turkey/Ontario/FAV110-4/2009(H1N1),1419
18,2,KM244078,A/turkey/Virginia/4135/2014(H1N1),1410
19,2,KC608160,A/duck/Guangxi/030D/2009(H1N1),1398
20,2,AB470663,A/duck/Hokkaido/w73/2007(H1N1),1422
21,2,HQ897966,A/mallard/Korea/KNU YP09/2009(H1N1),1410
22,2,GQ411894,A/dunlin/Alaska/44421-660/2008(H1N1),1413
23,2,AM157358,A/mallard/France/691/2002(H1N1),1413
24,2,AB546159,A/pintail/Miyagi/1472/2008(H1N1),1410
25,3,JX081142,A/emperor goose/Alaska/44297-260/2007(H2N2),1457
26,3,DQ017487,A/mallard/Postdam/178-4/1983(H2N2),1467
27,3,CY005540,A/duck/Hong Kong/319/1978(H2N2),1467
28,4,KF259734,A/chicken/Rizhao/713/2013(H7N9),1398
29,4,KF938945,A/chicken/Jiangsu/1021/2013(H7N9),1404
30,4,KF259688,A/duck/Jiangxi/3096/2009(H7N9),1413
31,4,KC609801,A/wild duck/Korea/SH19-47/2010(H7N9),1426
32,4,CY186004,A/mallard/Minnesota/AI09-3770/2009(H7N9),1422
33,4,CY014788,A/turkey/Minnesota/1/1988(H7N9),1460
34,5,EU500854,A/American black duck/NB/2538/2007(H7N3),1453
35,5,AY646080,A/chicken/British Columbia/GSC human B/04(H7N3),1453
36,5,CY076231,A/American green-winged teal/California/44242-906/2007(H7N3),1420
37,5,CY129336,A/American black duck/New Brunswick/02490/2007(H7N3),1428
38,5,CY039321,A/avian/Delaware Bay/226/2006(H7N3),1434
