No.,Group,Accession,Name,Size
1,4,AF499637,HEV_cva-13*,7458
2,4,AF546702,HEV_cva-21*,7406
3,1,AY751783,A_hrv-39*,7137
4,2,DQ473485,B_hrv-03*,7208
5,2,DQ473486,B_hrv-06*,7216
6,2,DQ473488,B_hrv-48*,7214
7,2,DQ473489,B_hrv-70*,7223
8,2,DQ473490,B_hrv-04*,7212
9,1,DQ473491,A_hrv-41*,7145
10,1,DQ473492,A_hrv-73*,7140
11,1,DQ473493,A_hrv-15*,7134
12,1,DQ473494,A_hrv-74*,7120
13,1,DQ473496,A_hrv-49*,7106
14,1,DQ473497,A_hrv-23*,7025
15,1,DQ473499,A_hrv-44*,7123
16,1,DQ473500,A_hrv-59*,7135
17,1,DQ473504,A_hrv-88*,7143
18,1,DQ473505,A_hrv-36*,7141
19,1,DQ473506,A_hrv-46*,7149
20,1,DQ473507,A_hrv-53*,7143
21,1,DQ473508,A_hrv-28*,7148
22,1,DQ473510,A_hrv-75*,7137
23,1,DQ473511,A_hrv-55*,7036
24,3,EF077279,C_nat001*,6944
25,3,EF077280,C_nat045*,7015
26,1,EF173414,A_hrv-11*,7125
27,1,EF173415,A_hrv-12*,7124
28,2,EF173420,B_hrv-17*,7219
29,2,EF173423,B_hrv-37*,7216
30,2,EF173425,B_hrv-93*,7215
31,3,EF186077,C_qpm*,7134
32,3,EF582385,C_c024*,7099
33,3,EF582386,C_c025*,7114
34,3,EF582387,C_c026*,7086
35,1,FJ445111,A_hrv-01,7137
36,2,FJ445112,B_hrv-05,7212
37,1,FJ445113,A_hrv-08,7108
38,1,FJ445114,A_hrv-09-f01,7134
39,1,FJ445115,A_hrv-09-f02,7133
40,1,FJ445116,A_hrv-13,7140
41,1,FJ445117,A_hrv-13-f03,7143
42,1,FJ445118,A_hrv-18,7119
43,1,FJ445119,A_hrv-19,7135
44,1,FJ445121,A_hrv-21,7134
45,1,FJ445122,A_hrv-22,7129
46,1,FJ445123,A_hrv-25,7126
47,2,FJ445124,B_hrv-26,7211
48,1,FJ445125,A_hrv-29,7123
49,1,FJ445126,A_hrv-31,7131
50,1,FJ445127,A_hrv-32,7133
51,1,FJ445128,A_hrv-33,7133
52,1,FJ445129,A_hrv-40,7138
53,2,FJ445130,B_hrv-42,7223
54,1,FJ445131,A_hrv-43,7129
55,1,FJ445132,A_hrv-45,7114
56,1,FJ445133,A_hrv-47,7132
57,1,FJ445134,A_hrv-49-f04,7109
58,1,FJ445135,A_hrv-50,7118
59,1,FJ445136,A_hrv-51,7152
60,2,FJ445137,B_hrv-52-f10,7216
61,1,FJ445138,A_hrv-54,7134
62,1,FJ445139,A_hrv-54-f05,7133
63,1,FJ445140,A_hrv-56,7136
64,1,FJ445141,A_hrv-57,7134
65,1,FJ445142,A_hrv-58,7140
66,1,FJ445143,A_hrv-60,7139
67,1,FJ445144,A_hrv-61,7139
68,1,FJ445145,A_hrv-62,7131
69,1,FJ445146,A_hrv-63,7141
70,1,FJ445147,A_hrv-65,7162
71,1,FJ445148,A_hrv-66,7139
72,1,FJ445149,A_hrv-67,7135
73,2,FJ445151,B_hrv-69,7211
74,1,FJ445152,A_hrv-71,7161
75,2,FJ445153,B_hrv-72,7216
76,1,FJ445154,A_hrv-77,7136
77,2,FJ445155,B_hrv-79,7224
78,1,FJ445156,A_hrv-80,7138
79,1,FJ445157,A_hrv-81,7116
80,1,FJ445158,A_hrv-81-f06,7116
81,1,FJ445159,A_hrv-81-f07,7116
82,1,FJ445160,A_hrv-82,7123
83,2,FJ445161,B_hrv-83,7230
84,2,FJ445162,B_hrv-84,7201
85,1,FJ445163,A_hrv-85,7140
86,2,FJ445164,B_hrv-86,7213
87,1,FJ445165,A_hrv-89-f09,7150
88,1,FJ445166,A_hrv-89-f08,7152
89,1,FJ445167,A_hrv-90,7124
90,2,FJ445168,B_hrv-91,7221
91,2,FJ445169,B_hrv-92,7233
92,1,FJ445170,A_hrv-95,7110
93,1,FJ445171,A_hrv-96,7134
94,2,FJ445172,B_hrv-97,7207
95,1,FJ445173,A_hrv-98,7133
96,2,FJ445174,B_hrv-99,7208
97,1,FJ445175,A_hrv-100,7140
98,1,FJ445176,A_hrv-07,7146
99,1,FJ445177,A_hrv-09,7132
100,1,FJ445178,A_hrv-10,7137
101,1,FJ445179,A_hrv-30,7093
102,1,FJ445180,A_hrv-38,7136
103,1,FJ445181,A_hrv-64,7129
104,1,FJ445182,A_hrv-76,7128
105,1,FJ445183,A_hrv-78,7145
106,1,FJ445184,A_hrv-89,7152
107,1,FJ445185,A_hrv-94,7132
108,2,FJ445186,B_hrv-27,7217
109,2,FJ445187,B_hrv-35,7224
110,2,FJ445188,B_hrv-52,7216
111,1,FJ445189,A_hrv-34,7119
112,1,FJ445190,A_hrv-24,7132
113,2,L05355,B_hrv-14*,7212
114,1,L24917,A_hrv-16*,7124
115,4,V01149,HEV_pv-1m*,7440
116,1,X02316,A_hrv-02*,7102
